,tract,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
805,06037231601,66081.0,764.0,2254.0,1433.0,821.0,753.0,48.0,633.0,6.0,33.0
806,06037231602,46683.0,598.0,2148.0,1544.0,604.0,556.0,60.0,449.0,4.0,35.0
807,06037231603,35048.0,828.0,2737.0,2113.0,624.0,588.0,46.0,463.0,7.0,45.0
808,06037231710,32301.0,1239.0,4311.0,3532.0,779.0,711.0,102.0,558.0,6.0,23.0
809,06037231720,45833.0,1454.0,5060.0,3880.0,1180.0,1088.0,128.0,757.0,2.0,183.0
810,06037231800,35321.0,1447.0,5253.0,4459.0,794.0,740.0,99.0,589.0,0.0,18.0
811,06037231901,35417.0,789.0,2741.0,2244.0,497.0,461.0,39.0,379.0,1.0,20.0
812,06037231902,40125.0,761.0,3166.0,2570.0,596.0,557.0,58.0,456.0,5.0,14.0
813,06037232110,36423.0,816.0,3336.0,2636.0,700.0,640.0,63.0,520.0,4.0,9.0
814,06037232120,44110.0,1473.0,5019.0,4019.0,1000.0,941.0,59.0,807.0,16.0,31.0
815,06037232200,60076.0,869.0,3204.0,2134.0,1070.0,975.0,93.0,823.0,10.0,26.0
816,06037232300,63681.0,1198.0,4376.0,3029.0,1347.0,1269.0,93.0,1076.0,0.0,63.0
817,06037232401,49318.0,1108.0,3702.0,2445.0,1257.0,1174.0,74.0,987.0,9.0,56.0
818,06037232402,50692.0,904.0,3163.0,1969.0,1194.0,1096.0,84.0,949.0,5.0,36.0
819,06037232500,49293.0,1465.0,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
820,06037232601,43958.0,551.0,2052.0,1513.0,539.0,490.0,19.0,451.0,0.0,8.0
821,06037232602,35052.0,1321.0,4540.0,3497.0,1043.0,956.0,95.0,810.0,6.0,16.0
822,06037232701,53036.0,577.0,2228.0,1721.0,507.0,453.0,19.0,387.0,1.0,7.0
823,06037232702,35114.0,1011.0,3932.0,2890.0,1042.0,990.0,58.0,867.0,2.0,34.0
824,06037232800,38897.0,933.0,4034.0,3328.0,706.0,659.0,46.0,538.0,11.0,24.0
825,06037234001,85757.0,1033.0,2361.0,304.0,2057.0,1912.0,235.0,1564.0,2.0,91.0
826,06037234002,41462.0,982.0,2977.0,1519.0,1458.0,1348.0,132.0,1108.0,4.0,72.0
