COMM_CURRENT,OBJECTID,BG20,CB20,CTCB20,FIP20,BGFIP20,ZCTA20,HD22,SPA22,SUP21,POP20,HOUSING20,FIP_CURRENT,BG20FIP_CURRENT,ShapeSTArea,ShapeSTLength,med_hh_income,med_hh_income_universe,ESRI_OID,Shape__Area,Shape__Length,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
Sherman Oaks,39480.187319884724,1348914.1195965419,1935.4423631123918,1348914125.6440923,44000.0,134891455959.65417,91428.39481268011,69.4913544668588,2.0,3.0518731988472623,126.55475504322767,61.664265129682995,44000.0,134891455959.65417,440495.9013324573,3089.84902755601,104424.98270893372,1778.077809798271,3990.108069164265,13723309.166648848,16846.37306699138,3936.9668587896253,670.3631123919308,3266.6037463976945,3050.9250720461096,2522.6239193083575,191.4827089337176,4.6354466858789625,299.9971181556196
Hollywood Hills,39575.78571428572,1830030.2738095238,1708.5595238095239,1830030279.9880953,44000.0,183003071380.9524,90117.69841269842,31.61904761904762,3.6825396825396823,4.690476190476191,117.77380952380952,69.64682539682539,44000.0,183003071380.9524,779911.962710574,4442.745936343993,103053.90873015873,1501.531746031746,4485.194444444444,20452032.206240706,25076.26545025297,3200.9444444444443,374.1666666666667,2826.777777777778,2635.8888888888887,2234.6984126984125,136.63095238095238,4.738095238095238,228.22222222222223
Crestview,45690.458333333336,2168823.9895833335,2016.5,2168823995.6666665,44000.0,216882442958.33334,90034.33333333333,64.20833333333333,4.604166666666667,2.6041666666666665,117.8125,52.864583333333336,44000.0,216882442958.33334,226446.3837189511,2064.924075142363,103003.48958333333,1546.1458333333333,2877.6979166666665,7710854.971669517,11408.182872637413,4051.9895833333335,611.21875,3440.7708333333335,3203.0208333333335,2329.03125,465.5520833333333,7.666666666666667,327.1979166666667
Harbor Pines,59401.307692307695,2933061.487179487,1496.4358974358975,2933061496.4358974,44000.0,293306192717.9487,90710.35897435897,79.0,8.0,4.0,65.92307692307692,25.76923076923077,44000.0,293306192717.9487,169879.40947625382,1869.4130072088487,101500.0,810.0,4314.0,6577544.68457031,11134.2539591579,2571.0,1054.0,1517.0,1411.0,955.0,112.0,2.0,324.0
South Carthay,43942.30303030303,2166371.772727273,2230.939393939394,2166371776.3939395,44000.0,216637221272.72726,90038.12121212122,54.45454545454545,4.409090909090909,2.409090909090909,157.1969696969697,80.77272727272727,44000.0,216637221272.72726,225189.29417630928,2092.2104408120576,100269.5,1445.590909090909,2796.9545454545455,6168430.246892759,9923.370481458016,3534.5,508.59090909090907,3025.909090909091,2813.0,2234.0,215.0,7.090909090909091,281.59090909090907
Sycamore Square,31787.875,2162014.75,1004.125,2162014754.125,44000.0,216201519000.0,90029.625,34.0,4.0,2.0,83.875,41.0,44000.0,216201519000.0,228877.27058724608,2021.75099928753,98139.125,1403.5,2791.375,5091896.318115235,10114.786269025688,2752.375,370.875,2381.5,2213.5,1316.5,376.0,2.375,478.375
Carthay,42969.43971631206,2147914.04964539,1856.163120567376,2147914054.744681,44000.0,214791448964.539,90051.44680851063,34.0,4.0,3.0,99.8581560283688,60.815602836879435,44000.0,214791448964.539,196300.9951354041,1928.644722218044,97434.22695035461,1324.6950354609928,2784.1843971631206,5214724.118863586,9305.571957482178,2502.659574468085,241.1631205673759,2261.496453900709,2135.8652482269504,1790.4468085106382,99.63829787234043,4.397163120567376,221.40425531914894
Mar Vista,56507.67042253521,2717545.4112676056,2233.5774647887324,2717545416.6760564,44000.0,271754585126.76056,90067.42535211268,84.0,5.0,2.9971830985915493,111.48169014084507,52.098591549295776,44000.0,271754585126.76056,276251.5723502967,2396.148848719999,95664.59154929577,1651.2028169014084,3990.8929577464787,10030430.953177264,13655.099509790654,3739.3549295774646,803.025352112676,2936.3295774647886,2703.5859154929576,1993.881690140845,94.52957746478873,6.188732394366197,576.6281690140845
Eagle Rock,42759.737430167595,1818968.3631284917,2085.5335195530724,1818968370.4497206,44000.0,181896880312.84915,90072.03631284916,47.0,4.0,1.0335195530726258,101.3659217877095,37.08100558659218,44000.0,181896880312.84915,360141.1064418149,2656.292451831767,95605.52793296089,1567.2067039106146,4299.480446927374,19635333.67993846,21072.600961043718,4218.958100558659,1447.3687150837989,2771.58938547486,2572.0027932960893,1493.1759776536312,69.43296089385476,10.575418994413408,968.8351955307263
Rancho Park,48419.945054945056,2694651.4945054944,2050.6043956043954,2694651501.1538463,44000.0,269465193450.54944,90064.0,84.0,5.0,3.0,73.21978021978022,37.42857142857143,44000.0,269465193450.54944,257968.2882160819,2322.4646405653366,95062.37362637362,1206.3846153846155,3907.5164835164837,10483093.961055528,14477.091237396133,2911.6373626373625,424.3296703296703,2487.3076923076924,2282.3296703296705,1592.010989010989,75.24175824175825,1.5384615384615385,588.6263736263736
